from,to,cost
32,12,3.300
32,13,3.100
32,14,3.200
32,15,4.200
32,16,2.100
32,17,2.200
32,18,2.100
32,19,2.100
32,20,2.100
32,21,2.000
32,22,2.100
32,23,1.400
32,24,1.100
32,25,1.100
32,26,0.500
32,27,0.450
32,28,0.500
32,29,0.500
32,30,0.028
32,31,0.039
32,33,0.024
33,0,4.700
33,1,4.700
33,2,4.600
33,3,4.700
33,4,4.200
33,5,4.700
33,6,4.200
33,7,4.200
33,8,3.800
33,9,3.800
33,10,3.800
33,11,5.000
33,12,3.300
33,13,3.100
33,14,3.300
33,15,4.200
33,16,2.200
33,17,2.200
33,18,2.100
33,19,2.100
33,20,2.100
33,21,2.000
33,22,2.000
33,23,1.000
33,24,1.000
33,25,1.100
33,26,0.500
33,27,0.450
33,28,0.450
33,29,0.500
33,30, 0.032
33,31,0.043
33,32,0.024
